24,13,0.166628988
24,13,0.167616658
16,13,0.175912363
26,13,0.173890474
23,13,0.166475301
135,13,0.157630278
22,13,0.168422874
26,13,0.154976901
13,16,0.175912363
26,16,0.154817825
26,22,0.160321721
24,22,0.165472999
13,22,0.168422874
26,22,0.182512793
24,23,0.145284908
26,23,0.162304714
13,23,0.166475301
135,23,0.179046145
23,24,0.145284908
22,24,0.165472999
13,24,0.166628988
13,24,0.167616658
135,26,0.156088087
13,26,0.154976901
22,26,0.182512793
13,26,0.173890474
16,26,0.154817825
23,26,0.162304714
135,26,0.173337376
72,26,0.17594157
135,26,0.181675386
22,26,0.160321721
26,72,0.17594157
150,74,0.17703921
151,74,0.175998726
151,74,0.155818418
150,74,0.174774382
151,74,0.171549304
151,74,0.174068063
151,74,0.177285498
151,74,0.156633238
150,74,0.17178568
150,74,0.171443124
150,74,0.151094538
151,74,0.159582749
150,76,0.163651363
150,95,0.164367014
150,119,0.161052901
26,135,0.173337376
13,135,0.157630278
23,135,0.179046145
26,135,0.181675386
26,135,0.156088087
74,150,0.17703921
151,150,0.175647532
74,150,0.171443124
95,150,0.164367014
151,150,0.152397416
76,150,0.163651363
74,150,0.151094538
74,150,0.174774382
119,150,0.161052901
74,150,0.17178568
74,151,0.177285498
74,151,0.174068063
74,151,0.155818418
74,151,0.175998726
150,151,0.175647532
74,151,0.156633238
150,151,0.152397416
74,151,0.159582749
74,151,0.171549304
